月份,HK_Turnover_HKD,US_Turnover_USD,US_Turnover_HKD,Global_Turnover_HKD,HK_Ratio,公司
2025-01,14754033999.484222,3140899833.1218934,24436200701.68833,39190234701.172554,37.64722031389822,携程
2025-02,37869684176.34741,6151466589.244469,47858410064.32197,85728094240.66937,44.17418176827037,携程
2025-03,36804370357.330505,5606455192.779345,43618221399.8233,80422591757.15381,45.76372080679265,携程
2025-04,31839016655.62317,5885995207.345009,45793042713.14417,77632059368.76733,41.01271680090524,携程
2025-05,23300258579.64514,3851225756.7317963,29962536387.373375,53262794967.01852,43.7458428422188,携程
2025-06,29600188506.305542,3390118858.3417892,26375124717.89912,55975313224.204666,52.88079119404717,携程
2025-07,18919987922.23651,3184555663.796997,24775843064.340637,43695830986.57715,43.299297656219224,携程
2025-08,29365465381.087677,4675893294.9913025,36378449835.03233,65743915216.12001,44.666438383772196,携程
2025-09,25484742445.0,4561578666.829681,35489082027.93492,60973824472.93492,41.79620134589421,携程
2025-10,22224479617.0,2562527352.8598785,19936462805.249855,42160942422.249855,52.713431769189626,携程
2025-11,20673139468.0,2811655015.0177,21874676016.837708,42547815484.83771,48.5880161705765,携程
2025-12,19248170667.0,2377888496.0998535,18499972499.65686,37748143166.65686,50.99103969702546,携程
2026-01,52489131774.38901,6628868538.087654,51572597226.32195,104061729000.71097,50.44038022281024,携程
2026-02,35759060473.23309,4495870792.412376,34977874764.96829,70736935238.20139,50.55217667095289,携程
2026-03,25232805981.91986,3429195392.227936,26679140151.53334,51911946133.4532,48.60693513021521,携程
2026-04,15809913780.62616,2855940600.3414154,22219217870.65621,38029131651.28237,41.57316534492325,携程
2026-05,16997090985.767822,2979758451.016426,23182520748.907795,40179611734.67561,42.30277559177874,携程
2026-06,21307992356.628235,3548090129.7088623,27604141209.13495,48912133565.76318,43.563816998453525,携程
2026-07,26349428213.514435,2987722697.798729,23244482588.87411,49593910802.38855,53.1303698119435,携程
2026-08,13614545909.681396,2007804552.313614,15620719416.999916,29235265326.681313,46.56891516991364,携程
2026-09,2301128080.2024536,120526784.03475761,937698379.7904142,3238826459.992868,71.04820553452934,携程
2025-01,1117358403.2050056,1132860431.6774347,8813654158.450441,9931012561.655447,11.251203200761514,华住
2025-02,1249681292.7127876,1351885770.413228,10517671293.814915,11767352586.527702,10.619901830285364,华住
2025-03,1603401385.3347893,1488568321.6043165,11581061542.081583,13184462927.416372,12.161294655397782,华住
